Method,Type,Accuracy,Macro F1,Macro Prec,Macro Rec,F1_raw
Random Forest,Baseline,0.906±0.068,0.833±0.137,0.869,0.838,0.8325941018046281
MLP + TL (Full Finetune),Transfer Learning,0.811±0.033,0.760±0.080,0.796,0.801,0.7596743482081829
XGBoost,Baseline,0.859±0.056,0.756±0.126,0.771,0.771,0.7557542749648013
MLP + TL (Progressive),Transfer Learning,0.797±0.021,0.747±0.070,0.785,0.784,0.7465791101129448
MLP (source only),Transfer Learning,0.764±0.000,0.743±0.000,0.780,0.781,0.7431764109042118
MLP + TL (Freeze Head),Transfer Learning,0.783±0.029,0.738±0.070,0.778,0.778,0.7375243303062853
CNN + TL (Progressive),Transfer Learning,0.702±0.036,0.674±0.041,0.707,0.700,0.6741320584177727
CNN + TL (Freeze Head),Transfer Learning,0.716±0.057,0.672±0.096,0.694,0.706,0.6723645443946195
CNN + TL (Full Finetune),Transfer Learning,0.702±0.059,0.670±0.075,0.704,0.701,0.6702786196063506
MLP (no TL),Transfer Learning,0.784±0.081,0.670±0.138,0.700,0.676,0.6695507166183858
CNN (source only),Transfer Learning,0.709±0.000,0.656±0.000,0.673,0.684,0.6556859221311049
SVM (RBF),Baseline,0.791±0.065,0.655±0.100,0.698,0.656,0.6554965961356938
KNN (k=5),Baseline,0.689±0.083,0.505±0.124,0.570,0.497,0.5047867212152927
